ID,FirstFound,LastPresent,LastChecked,Fate,Freq
N2C1TECH1,02/05/2023,0,14/05/2023,0,1
N3C2BDL1,03/05/2023,0,25/05/2023,0,1
N5R3TECH2,05/05/2023,0,17/05/2023,0,1
N6R4TECH3,05/05/2023,0,08/06/2023,0,1
N7R5TECH4,05/05/2023,0,24/05/2023,0,1
N8R6TECH5,05/05/2023,0,17/05/2023,0,1
N9R7TECH6,05/052023,0,17/05/2023,0,1
N10R8BDL2,06/05/2023,0,12/05/2023,0,1
N11C3BDL3,06/05/2023,0,12/05/2023,0,1
N12C4TECH7,08/05/2023,0,30/05/2023,0,1
N13R9TECH8,08/05/2023,0,11/05/2023,0,1
N15R10TECH10,08/05/2023,20/05/2023,20/05/2023,1,1
N16C6TECH11,08/05/2023,11/05/2023,17/05/2023,0,1
N17C7TECH12,08/05/2023,0,17/05/2023,0,1
N18C8TECH13,08/05/2023,0,05/06/2023,0,1
N20R11TECH15,08/05/2023,0,11/05/2023,0,1
N21C10BDL4,09/05/2023,03/06/2023,06/06/2023,1,1
N22C11BDL5,09/05/2023,0,12/05/2023,0,1
N24C13BDL7,09/05/2023,21/05/2023,21/05/2023,0,1
N25R12STNY1,10/05/2023,04/06/2023,04/06/2023,1,1
N26C14STNY2,10/05/2023,0,19/05/2023,0,1
N27R13TECH16,11/05/2023,0,20/05/2023,0,1
N28R14TECH17,11/05/2023,0,20/05/2023,0,1
N29R15TECH18,11/05/2023,30/05/2023,02/06/2023,0,1
N30R16TECH19,11/05/2023,0,24/05/2023,0,1
N32R17BDL9,12/05/2023,09/06/2023,12/06/2023,1,1
N33R18BDL10,12/05/2023,25/05/2023,28/05/2023,1,1
N34C16BDL11,12/05/2023,0,25/05/2023,0,1
N36C17BDL13,15/05/2023,0,25/05/2023,0,1
N37C18BDL14,15/05/2023,03/06/2023,06/06/2023,0,1
N38R20TECH20,17/05/2023,12/06/2023,12/06/2023,1,1
N39R21TECH21,17/05/2023,0,30/05/2023,0,1
N40R22TECH22,17/05/2023,0,20/05/2023,0,1
N41R23TECH23,17/05/2023,02/06/2023,16/06/2023,0,1
N42R24TECH24,17/05/2023,0,30/05/2023,0,1
N43R25TECH25,17/05/2023,30/05/2023,30/05/2023,1,1
N44R26BDL15,18/05/2023,09/06/2023,12/06/2023,0,1
N45C19BDL16,18/05/2023,0,31/05/2023,0,1
N47R28STNY3,23/05/2023,0,28/05/2023,0,1
N48YW1STNY4,23/05/2023,0,28/05/2023,0,1
N50C20TECH26,24/05/2023,0,30/05/2023,0,1
N51YW2TECH27,24/05/2023,0,30/05/2023,0,1
N52R30BDL17,25/05/2023,0,09/06/2023,0,1
N53GC1BDL18,25/05/2023,0,30/06/2023,0,1
N54C21BDL19,25/05/2023,0,31/05/2023,0,1
N55GC2BDL20,25/05/2023,0,06/06/2023,0,1
N56YW3BDL21,25/05/2023,0,06/07/2023,0,1
N57R31BDL22,25/05/2023,0,09/06/2023,0,1
N58GC3BDL23,25/05/2023,0,19/06/2023,0,1
N60GC4STNY5,26/05/2023,0,07/06/2023,0,1
N61R32TECH28,27/05/2023,22/06/2023,30/06/2023,1,1
N62YW4TECH29,30/052023,22/06/2023,26/06/2023,1,1
N63YW5TECH30,30/05/2023,22/06/2023,04/07/2023,0,1
N64R33TECH31,30/052024,0,12/06/2023,0,1
N65R34TECH32,30/05/2024,02/06/2023, 02/06/2023,1,1
N66YW6TECH33,30/052025,0,06/06/2023,0,1
N67C23BDL24,31/05/2023,0,26/06/2023,0,1
N68R35STNY6,01/06/2023,20/06/2023,22/06/2023,0,1
N69YW7TECH34,02/06/2023,0,30/06/2023,0,1
N70YW8TECH35,02/06/2023,0,12/06/2023,0,1
N71YW9TECH36,02/06/2023,0,16/06/2023,0,1
N72YW10TECH37,05/06/2023,0,04/07/2023,0,1
N73GC4TECH38,05/06/2023,22/06/2023,26/06/2023,1,1
N74GC5BDL25,06/06/2023,0,19/06/2023,0,1
N75YW11STNY7,07/06/2023,0,11/07/2023,0,1
N76YW12STNY8,07/06/2023,0,26/06/2023,1,1
N77GC6TECH39,08/06/2023,30/06/2023,06/07/2023,1,1
N78R36TECH40,08/06/2023,12/06/2023,16/06/2023,0,1
N79YW13TECH41,08/06/2023,12/06/2023,16/06/2023,0,1
N81R38TECH43,08/06/2023,10/07/2023,10/07/2023,1,1
N82YW14BDL26,09/06/2023,0,12/06/2023,0,1
N83GC7BDL27,09/06/2023,0,19/06/2023,0,1
N84GC8BDL28,09/06/2023,0,04/07/2023,0,1
N85YW15BDL29,09/06/2023,26/06/2023,04/07/2023,0,1
N86GC9BDL30,09/06/2023,0,19/06/2023,0,1
N87YW16BDL31,12/06/2023,0,19/06/2023,0,1
N88YW17TECH44,12/06/2023,22/06/2023,22/06/2023,1,1
N89C24STNY9,14/06/2023,0,26/06/2023,0,1
N90C25STNY10,14/06/2023,0,04/07/2023,0,1
N91YW18STNY11,14/06/2023,0,22/06/2023,0,1
N92YW19STNY12,21/06/2023,0,11/07/2023,0,1
N93YW20STNY13,21/06/2023,0,07/05/2023,0,1
N94GC10BDL32,22/06/2023,26/06/2023,30/06/2023,0,1
N95YW21TECH45,30/06/2023,13/07/2023,13/07/2023,1,1
N96YW22STNY14,07/05/2023,0,11/07/2023,0,1
N97YW23STNY15,07/05/2023,0,11/07/2023,1,1
N98C26TECH46,06/07/2023,0,08/08/2023,0,1
N99GC11BDL33,30/06/2023,0,17/7/2023,0,1
